Paper ID,Journal ID,Year of Publishing,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,Article
P1,IEE Proceedings I-Solid-State and Electron Devices,1982,199,229,219,261,222,232,239,181,161,140,158,154,134,124,102,Introduction to VLSI systems
P2,Algorithmica,1991,8,14,34,38,50,55,56,58,48,41,48,48,39,46,62,Retiming synchronous circuitry
P3,ACM SigPlan Notices,1995,17,41,54,77,58,45,44,42,38,34,36,55,89,60,126,Cilk: An efficient multithreaded runtime system
P4,Journal of the ACM,1998,2,10,15,16,23,15,18,16,25,19,14,19,14,30,25,Extractors and pseudorandom generators
P5,Introduction to VLSI systems,1982,17,22,26,25,27,30,40,34,24,26,25,15,11,11,7,Algorithms for VLSI processor arrays
P6,IEEE Transactions on Multimedia,1999,4,21,40,38,71,81,104,79,45,45,38,34,25,34,24,Adapting multimedia internet content for universal access
P7,IEEE Personal Communications,1997,1,3,12,21,20,30,25,39,50,30,28,27,20,8,19,Dynamic adaptation in an image transcoding proxy for mobile web browsing
P8,Computer Vision and Image Understanding,1999,3,7,16,15,18,21,23,20,18,14,13,16,7,8,5,Image classification and querying using composite region templates
P9,Journal of Lightwave Technology,1998,4,11,10,5,12,10,7,15,9,7,7,9,8,4,6,"Automatic fault detection, isolation, and recovery in transparent all-optical networks"
P10,IEEE Multimedia,2005,4,10,69,82,89,77,67,88,69,56,38,31,23,24,14,Large-scale concept ontology for multimedia
P11,ICML,2003,9,11,15,29,32,33,39,51,64,90,94,108,114,160,209,Algorithms for inverse reinforcement learning
P12,The Journal of Machine Learning Research,2005,157,228,336,475,862,1093,1504,1877,2417,2801,3353,4040,3923,4257,4316,Latent dirichlet allocation
P13,Journal of New Music Research,2002,1,3,5,3,0,5,4,3,2,4,0,0,2,3,2,The electronic tabla controller
P14,IEEE Transactions on speech and audio processing,2002,32,73,134,146,178,163,182,220,235,210,226,222,218,208,230,Musical genre classification of audio signals
P15,Journal of New Music Research,2003,8,10,10,18,9,9,12,16,16,12,11,13,19,12,8,Pitch histograms in audio and symbolic music information retrieval
P16,IEEE transaction on power delivery,2003,0,3,4,16,25,23,40,38,44,53,32,41,51,44,30,
P17,IEEE transactions on industrial electronic,2003,2,1,3,8,13,14,18,17,23,17,20,15,17,28,70,
P18,The Indian journal of pediatrics,2004,1,3,5,5,5,6,5,9,7,10,10,11,5,12,4,
P19,Anti-microbial agent and chemotherapy,2007,2,6,5,3,8,5,5,4,2,3,5,3,1,5,2,
P20,Indian journal of medical research,2006,2,1,1,3,2,1,6,1,2,6,2,3,5,6,6,
P21,Malaria journal,2006,0,2,2,0,2,0,8,15,6,8,9,6,8,7,6,
P22,Tropical medicine and international health,2004,0,3,10,0,0,3,3,4,2,0,1,2,2,1,1,
P23,Internation journal of mineral processing,1994,0,0,1,1,4,4,8,5,5,9,7,3,6,5,2,
P24,Power technology,2000,1,3,5,5,6,1,5,2,7,7,10,2,10,6,10,
P25,KONA Powder and particle journal,1990,0,1,3,2,0,1,2,5,4,2,3,4,3,1,8,
P26,Mineral engineering,2002,0,1,3,6,0,5,2,2,3,5,2,7,4,2,0,
P27,Mining metallurgy and exploration,2002,0,1,0,0,0,1,3,3,3,1,4,1,6,4,8,
P28,Electric power system research,1998,0,0,2,0,5,3,3,3,4,3,5,5,2,6,2,
P29,Material science and engineering;A,2007,0,2,4,1,10,3,4,4,2,7,2,3,2,3,2,
P30,Advanced power technology,2002,0,2,0,1,6,5,3,2,1,4,5,3,6,1,4,
P31,Canadian metallurgical quarterly,1999,0,1,3,2,2,0,0,0,3,4,3,2,0,1,1,
P32,Journal of hazardeous materials,2006,0,3,6,17,16,19,15,12,24,20,19,14,17,15,11,
P33,Bioresource Technology,2006,0,1,1,0,2,0,3,1,1,1,2,4,2,3,3,
P34,Langmuir ,2007,3,19,28,30,28,25,28,18,31,21,9,15,16,9,4,
P35,The journal of physical chemistry C,2007,1,5,9,11,14,10,6,6,7,5,7,3,3,6,3,
P36,Chemical Communication,2005,0,2,5,4,7,8,4,3,6,1,2,2,2,1,1,
P37,Hydrometallurgy,2004,1,0,6,5,5,5,6,4,7,13,13,6,12,13,9,
P38,Biomass and bioenergy,2004,1,0,0,2,2,0,1,4,6,5,2,3,4,2,3,
P39,Mineralium Deposita,1997,0,1,0,2,1,0,0,1,0,2,0,0,2,3,2,
P40,Journal of Minerals and Materials Characterization and Engineering,2005,0,0,1,0,2,3,1,1,2,1,1,1,2,0,2,
P41,Indian Journal Geology,1994,1,0,0,1,1,1,3,0,0,0,1,0,2,0,0,
P42,"Journal of Mineralogy, Petrology and Economic Geology",1994,0,0,1,1,2,0,2,0,0,0,0,0,1,0,0,
P43,Pattern Recognition Letter,2001,1,1,2,6,5,10,3,9,8,9,5,9,8,8,18,
P44,"Annals of the Academy of Medicine, Singapore",1993,0,1,0,1,0,0,1,3,4,1,2,0,3,1,0,
P45,Applied Mathematical Modelling,1992,0,0,3,0,1,5,7,6,10,11,8,9,4,6,8,
P46,Physical Review Letters,2000,0,7,10,30,31,24,36,33,28,34,42,35,32,31,28,
P47,Arxiv-preprint quant-ph/9911090,1999,0,7,8,16,13,19,12,29,27,19,23,`12,11,13,10,
P48,Proceedings of IEEE,1998,133,176,187,205,223,317,374,384,546,817,1604,2637,3957,5935,7499,
P49,IEEE transactions on Neural Networks,1994,0,22,31,20,26,27,42,31,39,41,30,44,32,46,41,
P50,Advances in Neural Information Processing Systems,2007,42,40,47,73,81,125,187,347,538,757,722,843,757,693,493,
P51,Neural Networks,1995,0,14,19,19,12,13,17,20,22,21,33,31,40,62,112,
P52,Large Scale Kernel Machines,2007,12,21,28,68,42,55,79,88,118,149,155,172,161,140,132,
P53,Machine Learning,2003,10,18,38,45,44,60,53,60,58,57,50,47,52,42,48,
P54,Advances in Neural Information Processing Systems,1995,5,23,20,10,11,10,18,13,19,11,9,17,16,20,15,
P55,ACM Computing Surveys,1999,0,114,184,353,439,582,786,898,993,1084,1068,1046,1118,1174,1143,
P56,Computer,1996,12,34,32,29,41,43,57,46,57,72,65,73,89,105,114,
P57,Biometrics,1999,18,33,78,98,134,186,188,175,177,180,201,172,204,220,237,
P58,Pattern Analysis and  Machine Intelligence,1997,0,25,30,56,54,88,88,117,135,144,150,184,140,140,133,
P59,Pattern Recognition,1992,0,6,11,17,22,36,44,36,44,21,49,46,47,52,38,
P60,Physical Letters A,2000,1,0,2,4,1,1,0,0,3,2,0,2,5,1,,